"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition_num","rt","stimulus","response","question_order","slider_start","image_path","practiceTrial","practiceTrialNum","correct","concept","repetition","map_id","hue","lightness","saturation","ishihara_plate","correct_response"
"true","false","[]","[]","[]","preload","0","260","0.0-0.0","t7kqyf5qg1","6","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","5866","0.0-1.0","t7kqyf5qg1","6","5605","Welcome to our experiment!<p>At the bottom of this screen, you will see a button that says ""Begin Experiment"".<br>Please only click that button when you are ready to complete the 25 minute experiment in one sitting.</p><p> Once you click that button, it will not be possible to restart the experiment.","0","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","8311","0.0-2.0","t7kqyf5qg1","6","1442","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-select","3","21011","0.0-3.0","t7kqyf5qg1","6","12698","","{""Consent"":[""<strong>I consent</strong>""]}","[0]","","","","","","","","","","","","",""
"","","","","","html-button-response","4","22058","0.0-4.0","t7kqyf5qg1","6","1042","Welcome! <p> This experiment involves two parts: demographic information, followed by the experimental task.<p> It will take about 25 minutes to complete both parts.","0","","","","","","","","","","","","","",""
"","","","","","survey-text","5","30565","0.0-5.0","t7kqyf5qg1","6","8499","","{""Age"":""18"",""Gender"":""Male"",""Race/ethnicity"":""White"",""Languages"":""English""}","","","","","","","","","","","","","",""
"","","","","","html-slider-response","6","56739","0.0-6.0","t7kqyf5qg1","6","26172","
                            <div style='text-align:left; font-size:20px; line-height:25px; width: 1400px;'>
                                During this experiment you will be asked to rate how much you associate maps with                    different concepts.<br> Below, you can see some examples of the maps you will be asked to rate. Next to the maps
                    is the list of concepts.<br>You will be asked                    to rate how much you associate each map with each concept on a scale from 'not at all' to 'very much' like the
                    one below. <br><br>
                    Now, please look at the list of concepts and maps. For each concept, think about the map you associate 'very
                    much' with the concept.<br>                     When you see that map during the experiment, please rate it near the 'very much' endpoint of the
                    scale.<br>Now, please think about which map you associate 'not at all'                     with each concept. When you see that map during the experiment, please rate it near the 'not at all' endpoint
                    of the scale.<br>
                    Please use the full range of the scale. That is, if a map is somewhat associated with the concept, you would
                    click partway between the middle point and right side of the scale.                    You will be asked to rate each map for a given concept before moving on to the next concept.<br><br>Press the
                    'Continue' button for instructions on how to use the slider.                    <br><br>
                </div>

                <div style=""width: 500px; margin: 0 auto;"">
                    <!-- Centered text paragraphs -->
                    <div style=""text-align: center; width: 500px;"">
                        <p style=""font-size:25px; line-height:18px;"">calm</p>
                        <p style=""font-size:25px; line-height:18px;"">exciting</p>
                        <p style=""font-size:25px;line-height:18px;"">positive</p>
                        <p style=""font-size:25px;line-height:18px;"">negative</p>
                        <p style=""font-size:25px;line-height:18px;"">serious</p>
                        <p style=""font-size:25px;line-height:18px;"">playful</p>
                        <p style=""font-size:25px;line-height:18px;"">trustworthy</p>
                        <p style=""font-size:25px;line-height:18px;"">disturbing</p>
                    </div>

                    <!-- Grid section -->
                   <div style=""display: flex; justify-content: center; padding-top: 15px;"">
                    <div style=""display: grid; grid-template-columns: repeat(8, 80px); grid-gap: 5px; width: auto;"">
                        <img src=""images/B_D_U_05.png"" alt=""map"" style=""width: 100%;""><img src=""images/G_D_U_37.png"" alt=""map"" style=""width: 100%;""><img src=""images/R_D_U_27.png"" alt=""map"" style=""width: 100%;""><img src=""images/R_D_S_26.png"" alt=""map"" style=""width: 100%;""><img src=""images/B_D_S_02.png"" alt=""map"" style=""width: 100%;""><img src=""images/Y_L_U_10.png"" alt=""map"" style=""width: 100%;""><img src=""images/G_D_S_33.png"" alt=""map"" style=""width: 100%;""><img src=""images/R_L_U_23.png"" alt=""map"" style=""width: 100%;""><img src=""images/Y_D_S_12.png"" alt=""map"" style=""width: 100%;""><img src=""images/G_L_S_28.png"" alt=""map"" style=""width: 100%;""><img src=""images/B_L_U_44.png"" alt=""map"" style=""width: 100%;""><img src=""images/Y_L_S_07.png"" alt=""map"" style=""width: 100%;""><img src=""images/G_L_U_30.png"" alt=""map"" style=""width: 100%;""><img src=""images/B_L_S_41.png"" alt=""map"" style=""width: 100%;""><img src=""images/Y_D_U_13.png"" alt=""map"" style=""width: 100%;""><img src=""images/R_L_S_15.png"" alt=""map"" style=""width: 100%;"">
                    </div>
                </div>

                    <!-- Clear floats -->
                    <div style=""clear: both;""></div>
                </div>
                            ","null","","0","maps_anchoring.png","true","","","","","","","","","",""
"","","","","","html-button-response","7","59167","0.0-7.0","t7kqyf5qg1","6","2426","<div style=""width:800px;""><p style=""text-align:left"">To move the slider, click and drag your cursor to the location of the scale where you would like to make your rating and then let go. When you let go of the slider, your response will be recorded and the next trial will begin. <br>
                    We are interested in your initial impressions of each map for the given concept, so please go with your first intuition. <br>
                    Before you begin the experiment, there will be four training trials for you to practice using the scale. <br>
                     When you are ready to start the training trials, please click ""Continue"".</p><br></div>","0","","","","","","","","","","","","","",""
"","","","","","html-slider-response","8","61393","0.0-8.0-0.0","t7kqyf5qg1","6","NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider all the way to the <br> right endpoint of the scale</p>

                                    </div>
                                </div>","200","","0","","true","0","true","","","","","","","",""
"","","","","","html-button-response","9","62851","0.0-8.0-1.0","t7kqyf5qg1","6","954","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","","","","","","","","","","","","","",""
"","","","","","html-slider-response","10","64379","0.0-9.0-0.0","t7kqyf5qg1","6","NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider all the way to the <br> left endpoint of the scale</p>

                                    </div>
                                </div>","-200","","0","","true","1","true","","","","","","","",""
"","","","","","html-button-response","11","65959","0.0-9.0-1.0","t7kqyf5qg1","6","1077","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","","","","","","","","","","","","","",""
"","","","","","html-slider-response","12","68438","0.0-10.0-0.0","t7kqyf5qg1","6","NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider halfway between the center and right endpoint of the scale</p>

                                    </div>
                                </div>","3","","0","","true","2","false","","","","","","","",""
"","","","","","html-button-response","13","69896","0.0-10.0-1.0","t7kqyf5qg1","6","954","<p align='center'><b>Not quite!</b> The slider was not placed near the instructed located. Click on 'Continue' to try again. </p>","0","","","","","","","","","","","","","",""
"","","","","","html-slider-response","14","70986","0.0-10.1-0.1","t7kqyf5qg1","6","NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider halfway between the center and right endpoint of the scale</p>

                                    </div>
                                </div>","2","","0","","true","2","false","","","","","","","",""
"","","","","","html-button-response","15","72160","0.0-10.1-1.1","t7kqyf5qg1","6","672","<p align='center'><b>Not quite!</b> The slider was not placed near the instructed located. Click on 'Continue' to try again. </p>","0","","","","","","","","","","","","","",""
"","","","","","html-slider-response","16","76024","0.0-10.2-0.2","t7kqyf5qg1","6","NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider halfway between the center and right endpoint of the scale</p>

                                    </div>
                                </div>","96","","0","","true","2","true","","","","","","","",""
"","","","","","html-button-response","17","77898","0.0-10.2-1.2","t7kqyf5qg1","6","1371","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","","","","","","","","","","","","","",""
"","","","","","html-slider-response","18","80619","0.0-11.0-0.0","t7kqyf5qg1","6","NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider halfway between the center and left endpoint of the scale</p>

                                    </div>
                                </div>","-112","","0","","true","3","false","","","","","","","",""
"","","","","","html-button-response","19","82094","0.0-11.0-1.0","t7kqyf5qg1","6","972","<p align='center'><b>Not quite!</b> The slider was not placed near the instructed located. Click on 'Continue' to try again. </p>","0","","","","","","","","","","","","","",""
"","","","","","html-slider-response","20","87413","0.0-11.1-0.1","t7kqyf5qg1","6","NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider halfway between the center and left endpoint of the scale</p>

                                    </div>
                                </div>","-111","","0","","true","3","false","","","","","","","",""
"","","","","","html-button-response","21","89520","0.0-11.1-1.1","t7kqyf5qg1","6","1604","<p align='center'><b>Not quite!</b> The slider was not placed near the instructed located. Click on 'Continue' to try again. </p>","0","","","","","","","","","","","","","",""
"","","","","","html-slider-response","22","91658","0.0-11.2-0.2","t7kqyf5qg1","6","NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider halfway between the center and left endpoint of the scale</p>

                                    </div>
                                </div>","-117","","0","","true","3","false","","","","","","","",""
"","","","","","html-button-response","23","93303","0.0-11.2-1.2","t7kqyf5qg1","6","1142","<p align='center'><b>Not quite!</b> The slider was not placed near the instructed located. Click on 'Continue' to try again. </p>","0","","","","","","","","","","","","","",""
"","","","","","html-slider-response","24","101000","0.0-11.3-0.3","t7kqyf5qg1","6","NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider halfway between the center and left endpoint of the scale</p>

                                    </div>
                                </div>","-114","","0","","true","3","false","","","","","","","",""
"","","","","","html-button-response","25","102619","0.0-11.3-1.3","t7kqyf5qg1","6","1116","<p align='center'><b>Not quite!</b> The slider was not placed near the instructed located. Click on 'Continue' to try again. </p>","0","","","","","","","","","","","","","",""
"","","","","","html-slider-response","26","105528","0.0-11.4-0.4","t7kqyf5qg1","6","NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider halfway between the center and left endpoint of the scale</p>

                                    </div>
                                </div>","-112","","0","","true","3","false","","","","","","","",""
"","","","","","html-button-response","27","106540","0.0-11.4-1.4","t7kqyf5qg1","6","510","<p align='center'><b>Not quite!</b> The slider was not placed near the instructed located. Click on 'Continue' to try again. </p>","0","","","","","","","","","","","","","",""
"","","","","","html-slider-response","28","109650","0.0-11.5-0.5","t7kqyf5qg1","6","NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider halfway between the center and left endpoint of the scale</p>

                                    </div>
                                </div>","-116","","0","","true","3","false","","","","","","","",""
"","","","","","html-button-response","29","111207","0.0-11.5-1.5","t7kqyf5qg1","6","1054","<p align='center'><b>Not quite!</b> The slider was not placed near the instructed located. Click on 'Continue' to try again. </p>","0","","","","","","","","","","","","","",""
"","","","","","html-slider-response","30","114042","0.0-11.6-0.6","t7kqyf5qg1","6","NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider halfway between the center and left endpoint of the scale</p>

                                    </div>
                                </div>","1","","0","","true","3","false","","","","","","","",""
"","","","","","html-button-response","31","115841","0.0-11.6-1.6","t7kqyf5qg1","6","1296","<p align='center'><b>Not quite!</b> The slider was not placed near the instructed located. Click on 'Continue' to try again. </p>","0","","","","","","","","","","","","","",""
"","","","","","html-slider-response","32","122840","0.0-11.7-0.7","t7kqyf5qg1","6","NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider halfway between the center and left endpoint of the scale</p>

                                    </div>
                                </div>","-110","","0","","true","3","true","","","","","","","",""
"","","","","","html-button-response","33","125085","0.0-11.7-1.7","t7kqyf5qg1","6","1742","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","","","","","","","","","","","","","",""
