"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","stimulus","slider_start","image_path","practiceTrial","concept","practiceTrialNum","correct"
"true","false","[]","[]","[]","preload","0","1024","0.0-0.0","","","","","","","","","",""
"","","","","","survey-multi-select","1","20943","0.0-1.0","19914","{""Consent"":[""<strong>I consent</strong>""]}","[0]","","","","","","",""
"","","","","","html-keyboard-response","2","23193","0.0-2.0","2247"," ","","<p>Great job!</p> You have completed the consent process and answered the demographic questions.<p> Press the spacebar to continue to instructions for the experiment. </p>","","","","","",""
"","","","","","html-slider-response","3","95374","0.0-3.0","72178","58","","
            <div style='text-align:left; font-size:20px; line-height:25px; width: 1200px;'>
                During this experiment you will be asked to rate how much you associate maps with    different concepts.<br> Below, you can see some examples of the maps you will be asked to rate. Next to the maps
    is the list of concepts.<br>You will be asked    to rate how much you associate each map with each concept on a scale from 'not at all' to 'very much' like the
    one below. <br><br>
    Now, please look at the list of concepts and maps. For each concept, think about the map you associate 'very
    much' with the concept.<br>     When you see that map during the experiment, please rate it near the 'very much' endpoint of the
    scale.<br>Now, please think about which map you associate 'not at all'     with each concept. When you see that map during the experiment, please rate it near the 'not at all' endpoint
    of the scale.<br>
    Please use the full range of the scale. That is, if a map is somewhat associated with the concept, you would
    click partway between the middle point and right side of the scale.    You will be asked to rate each map for a given concept before moving on to the next concept.<br><br>Press the
    'Continue' button when you're ready to begin four practice trials.    <br><br>
</div>

<div style=""width: 500px; margin: 0 auto;"">
    <div style=""text-align: right; width: 240px; float: left;"">
        <p style=""font-size:25px; line-height:18px;"">calm</p>
        <p style=""font-size:25px; line-height:18px;"">exciting</p>
        <p style=""font-size:25px;line-height:18px;"">positive</p>
        <p style=""font-size:25px;line-height:18px;"">negative</p>
        <p style=""font-size:25px;line-height:18px;"">serious</p>
        <p style=""font-size:25px;line-height:18px;"">playful</p>
        <p style=""font-size:25px;line-height:18px;"">trustworthy</p>
        <p style=""font-size:25px;line-height:18px;"">disturbing</p>
    </div>
    <div style=""width: 240px; float: right; padding-top:15px"">
        <img src=""patches71.png"" alt=""img"" style=""max-height:300px"">
    </div>
    <div style=""clear: both;""></div>
</div>
            ","0","patches71.png","true","","",""
"","","","","","html-slider-response","4","99616","0.0-4.0-0.0","NaN","59","","<div style=""width:500px;"">
                            <p style=""font-size:25px;"">Please move the slider all the way to the <br> right endpoint of the scale</p>
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h149_v612.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h149_v612.png","true","exciting","0","false"
"","","","","","html-button-response","5","103139","0.0-4.0-1.0","3021","0","","<p align='center'><b>Not quite!</b> The slider was not placed near the instructed located. Click on 'Continue' to try again. </p>","","","","","",""
"","","","","","html-slider-response","6","108813","0.0-4.1-0.1","NaN","200","","<div style=""width:500px;"">
                            <p style=""font-size:25px;"">Please move the slider all the way to the <br> right endpoint of the scale</p>
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h149_v612.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h149_v612.png","true","exciting","0","true"
"","","","","","html-button-response","7","110467","0.0-4.1-1.1","1151","0","","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","","","","","",""
"","","","","","html-slider-response","8","113800","0.0-5.0-0.0","NaN","-200","","<div style=""width:500px;"">
                            <p style=""font-size:25px;"">Please move the slider all the way to the <br> left endpoint of the scale</p>
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h148_v607.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h148_v607.png","true","exciting","1","true"
"","","","","","html-button-response","9","115281","0.0-5.0-1.0","979","0","","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","","","","","",""
"","","","","","html-slider-response","10","121794","0.0-6.0-0.0","NaN","101","","<div style=""width:500px;"">
                            <p style=""font-size:25px;"">Please move the slider halfway between the center and right endpoint of the scale</p>
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h176_v214.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h176_v214.png","true","exciting","2","true"
"","","","","","html-button-response","11","123432","0.0-6.0-1.0","1137","0","","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","","","","","",""
"","","","","","html-slider-response","12","127162","0.0-7.0-0.0","NaN","-114","","<div style=""width:500px;"">
                            <p style=""font-size:25px;"">Please move the slider halfway between the center and left endpoint of the scale</p>
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h148_v605.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h148_v605.png","true","exciting","3","false"
"","","","","","html-button-response","13","128570","0.0-7.0-1.0","905","0","","<p align='center'><b>Not quite!</b> The slider was not placed near the instructed located. Click on 'Continue' to try again. </p>","","","","","",""
"","","","","","html-slider-response","14","134365","0.0-7.1-0.1","NaN","-106","","<div style=""width:500px;"">
                            <p style=""font-size:25px;"">Please move the slider halfway between the center and left endpoint of the scale</p>
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h148_v605.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h148_v605.png","true","exciting","3","true"
"","","","","","html-button-response","15","135904","0.0-7.1-1.1","1037","0","","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","","","","","",""
"","","","","","html-button-response","16","138075","0.0-8.0","2170","0","","<p>Great job! You've completed the practice trials. Now you will begin the main task.</p>","","","","","",""
"","","","","","html-button-response","17","139788","0.0-9.0","1712","0","","<p>In this block of trials, you will be asked to rate how much you associate each map with:</p > <p style = 'font-size:150%; font-weight: bold'>exciting</p><br></br>","","","","","",""
"","","","","","html-slider-response","18","143894","0.0-10.0","NaN","67","","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h246_v290.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h246_v290.png","","exciting","",""
"","","","","","html-slider-response","19","148367","0.0-11.0","NaN","75","","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h223_v317.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h223_v317.png","","exciting","",""
"","","","","","html-slider-response","20","151034","0.0-12.0","NaN","146","","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h114_v215.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h114_v215.png","","exciting","",""
"","","","","","html-slider-response","21","154035","0.0-13.0","NaN","-50","","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h159_v655.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h159_v655.png","","exciting","",""
"","","","","","html-slider-response","22","157243","0.0-14.0","NaN","-46","","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h155_v647.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h155_v647.png","","exciting","",""
"","","","","","html-slider-response","23","160554","0.0-15.0","NaN","-72","","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h200_v276.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h200_v276.png","","exciting","",""
"","","","","","html-slider-response","24","163650","0.0-16.0","NaN","-63","","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h267_v305.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h267_v305.png","","exciting","",""
"","","","","","html-slider-response","25","168682","0.0-17.0","NaN","-70","","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h148_v640.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h148_v640.png","","exciting","",""
"","","","","","html-slider-response","26","174017","0.0-18.0","NaN","26","","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h143_v594.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h143_v594.png","","exciting","",""
"","","","","","html-slider-response","27","177361","0.0-19.0","NaN","78","","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h147_v603.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h147_v603.png","","exciting","",""
"","","","","","html-slider-response","28","183397","0.0-20.0","NaN","144","","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h207_v480.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h207_v480.png","","exciting","",""
"","","","","","html-slider-response","29","188033","0.0-21.0","NaN","-115","","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h147_v672.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h147_v672.png","","exciting","",""
"","","","","","html-slider-response","30","194100","0.0-22.0","NaN","-58","","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h183_v676.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h183_v676.png","","exciting","",""
"","","","","","html-slider-response","31","197774","0.0-23.0","NaN","102","","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h241_v296.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h241_v296.png","","exciting","",""
"","","","","","html-slider-response","32","200707","0.0-24.0","NaN","150","","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h154_v646.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h154_v646.png","","exciting","",""
"","","","","","html-slider-response","33","203913","0.0-25.0","NaN","-124","","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h167_v644.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h167_v644.png","","exciting","",""
"","","","","","html-slider-response","34","206947","0.0-26.0","NaN","-44","","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h143_v595.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h143_v595.png","","exciting","",""
"","","","","","html-slider-response","35","211678","0.0-27.0","NaN","-106","","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h116_v508.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h116_v508.png","","exciting","",""
"","","","","","html-slider-response","36","217545","0.0-28.0","NaN","53","","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h149_v612.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h149_v612.png","","exciting","",""
"","","","","","html-slider-response","37","222500","0.0-29.0","NaN","-104","","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >exciting</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_h266_v305.png"" alt=""img"">
                            </div>
                        </div>","0","images/gray_h266_v305.png","","exciting","",""
